run_id,handshake_type,duration_ms,success
1,full,36.24,1
2,full,19.44,1
3,full,23.09,1
4,full,5.90,1
5,full,3.62,1
6,full,18.42,1
7,full,28.95,1
8,full,17.91,1
9,full,11.61,1
10,full,5.71,1
11,full,17.26,1
12,full,5.47,1
13,full,12.80,1
14,full,6.00,1
15,full,20.43,1
16,full,11.82,1
17,full,24.72,1
18,full,47.52,1
19,full,43.92,1
20,full,25.74,1
21,full,4.04,1
22,full,12.80,1
23,full,11.23,1
24,full,3.97,1
25,full,3.70,1
26,full,3.22,1
27,full,10.64,1
28,full,4.98,1
29,full,9.01,1
30,full,6.01,1
31,full,4.49,1
32,full,3.80,1
33,full,2.96,1
34,full,2.96,1
35,full,6.52,1
36,full,5.14,1
37,full,6.80,1
38,full,4.31,1
39,full,9.93,1
40,full,7.06,1
41,full,9.42,1
42,full,8.28,1
43,full,18.06,1
44,full,3.50,1
45,full,9.64,1
46,full,7.41,1
47,full,4.96,1
48,full,15.48,1
49,full,5.27,1
50,full,85.17,1
51,full,3.58,1
52,full,4.19,1
53,full,36.53,1
54,full,157.22,1
55,full,10.64,1
56,full,12.61,1
57,full,5.38,1
58,full,10.33,1
59,full,6.14,1
60,full,3.61,1
61,full,2.73,1
62,full,22.79,1
63,full,6.30,1
64,full,13.94,1
65,full,47.11,1
66,full,3.65,1
67,full,3.62,1
68,full,15.50,1
69,full,5.73,1
70,full,8.71,1
71,full,3.55,1
72,full,4.01,1
73,full,18.98,1
74,full,16.22,1
75,full,16.91,1
76,full,15.32,1
77,full,9.66,1
78,full,9.62,1
79,full,140.89,1
80,full,13.91,1
81,full,7.10,1
82,full,6.65,1
83,full,39.11,1
84,full,9.32,1
85,full,43.36,1
86,full,11.08,1
87,full,18.33,1
88,full,26.78,1
89,full,7.67,1
90,full,38.85,1
91,full,13.68,1
92,full,9.81,1
93,full,74.01,1
94,full,19.30,1
95,full,9.93,1
96,full,6.64,1
97,full,12.82,1
98,full,7.17,1
99,full,7.00,1
100,full,12.36,1
101,full,5.29,1
102,full,11.96,1
103,full,7.46,1
104,full,8.22,1
105,full,2.98,1
106,full,5.32,1
107,full,3.51,1
108,full,14.29,1
109,full,5.98,1
110,full,3.25,1
111,full,8.90,1
112,full,4.86,1
113,full,13.49,1
114,full,12.99,1
115,full,19.36,1
116,full,6.03,1
117,full,16.66,1
118,full,48.95,1
119,full,5.11,1
120,full,6.61,1
121,full,6.00,1
122,full,4.53,1
123,full,12.70,1
124,full,4.77,1
125,full,14.58,1
126,full,55.22,1
127,full,7.43,1
128,full,9.09,1
129,full,6.11,1
130,full,38.06,1
131,full,12.82,1
132,full,83.08,1
133,full,9.02,1
134,full,30.51,1
135,full,13.53,1
136,full,12.58,1
137,full,13.76,1
138,full,5.83,1
139,full,6.56,1
140,full,6.60,1
141,full,5.00,1
142,full,8.20,1
143,full,6.50,1
144,full,7.43,1
145,full,8.70,1
146,full,17.18,1
147,full,3.21,1
148,full,12.88,1
149,full,17.37,1
150,full,6.66,1
151,full,16.86,1
152,full,7.47,1
153,full,5.88,1
154,full,14.69,1
155,full,10.50,1
156,full,3.95,1
157,full,3.25,1
158,full,5.64,1
159,full,7.15,1
