run_id,handshake_type,duration_ms,success
1,full,145.25,1
2,full,2106.45,1
3,full,83.73,1
4,full,75.54,1
5,full,80.03,1
6,full,79.44,1
7,full,74.18,1
8,full,75.36,1
9,full,78.02,1
10,full,74.73,1
11,full,74.93,1
12,full,76.73,1
13,full,78.68,1
14,full,111.64,1
15,full,79.36,1
16,full,76.97,1
17,full,85.24,1
18,full,112.40,1
19,full,101.23,1
20,full,76.22,1
21,full,75.89,1
22,full,81.11,1
23,full,96.07,1
24,full,102.94,1
25,full,92.17,1
26,full,74.73,1
27,full,82.61,1
28,full,81.27,1
29,full,76.63,1
30,full,83.93,1
31,full,86.09,1
32,full,76.19,1
33,full,80.38,1
34,full,88.77,1
35,full,81.85,1
36,full,96.39,1
37,full,81.41,1
38,full,92.34,1
39,full,76.96,1
40,full,76.13,1
41,full,77.42,1
42,full,77.36,1
43,full,97.78,1
44,full,92.65,1
45,full,87.39,1
46,full,77.88,1
47,full,82.21,1
48,full,74.70,1
49,full,74.34,1
50,full,81.64,1
51,full,74.45,1
52,full,86.69,1
53,full,1121.52,1
54,full,78.29,1
55,full,81.12,1
56,full,74.18,1
57,full,79.15,1
58,full,76.64,1
59,full,79.28,1
60,full,108.20,1
61,full,77.67,1
62,full,74.44,1
63,full,88.71,1
64,full,80.67,1
65,full,88.64,1
66,full,86.87,1
67,full,76.12,1
68,full,73.88,1
69,full,73.36,1
70,full,74.57,1
71,full,74.20,1
72,full,73.77,1
73,full,77.37,1
74,full,74.93,1
75,full,75.49,1
76,full,73.89,1
77,full,100.19,1
78,full,78.12,1
79,full,85.83,1
80,full,94.75,1
81,full,85.27,1
82,full,76.88,1
83,full,79.77,1
84,full,75.58,1
85,full,75.38,1
86,full,76.23,1
87,full,82.34,1
88,full,138.39,1
89,full,76.34,1
90,full,236.53,1
91,full,76.15,1
92,full,76.72,1
93,full,75.74,1
94,full,79.35,1
95,full,154.08,1
96,full,141.15,1
97,full,75.93,1
98,full,128.91,1
99,full,90.41,1
100,full,83.88,1
101,full,75.15,1
102,full,96.31,1
103,full,80.04,1
104,full,78.25,1
105,full,87.09,1
106,full,79.85,1
107,full,96.43,1
108,full,83.68,1
109,full,85.00,1
110,full,74.45,1
111,full,86.31,1
112,full,79.72,1
113,full,77.81,1
114,full,93.17,1
115,full,84.69,1
116,full,91.63,1
117,full,78.52,1
118,full,79.87,1
119,full,76.14,1
120,full,88.64,1
121,full,115.11,1
122,full,74.42,1
123,full,81.78,1
124,full,85.80,1
125,full,84.77,1
126,full,93.31,1
127,full,88.82,1
128,full,81.12,1
129,full,81.71,1
130,full,86.60,1
131,full,2079.12,1
132,full,76.33,1
133,full,92.80,1
134,full,80.30,1
135,full,83.91,1
136,full,80.18,1
137,full,256.01,1
138,full,76.42,1
139,full,88.53,1
140,full,75.92,1
141,full,83.83,1
142,full,115.84,1
143,full,123.81,1
144,full,201.38,1
145,full,79.99,1
146,full,83.24,1
147,full,91.46,1
148,full,75.63,1
149,full,91.49,1
150,full,88.47,1
151,full,80.09,1
152,full,93.08,1
153,full,88.94,1
154,full,92.27,1
155,full,79.61,1
156,full,76.04,1
157,full,73.93,1
158,full,75.61,1
159,full,81.47,1
160,full,75.24,1
161,full,78.03,1
162,full,76.05,1
163,full,73.98,1
164,full,258.75,1
165,full,94.01,1
166,full,102.61,1
167,full,80.19,1
168,full,87.06,1
169,full,81.73,1
170,full,77.21,1
171,full,1155.30,1
172,full,80.56,1
173,full,202.24,1
174,full,76.57,1
175,full,77.23,1
176,full,78.40,1
177,full,76.91,1
178,full,79.45,1
179,full,83.02,1
180,full,74.91,1
181,full,93.27,1
182,full,108.61,1
183,full,75.34,1
184,full,77.58,1
185,full,88.45,1
186,full,93.74,1
187,full,89.06,1
188,full,74.83,1
189,full,74.89,1
190,full,86.35,1
191,full,81.24,1
192,full,81.02,1
193,full,76.74,1
194,full,97.69,1
195,full,77.91,1
196,full,78.33,1
197,full,73.82,1
198,full,75.41,1
199,full,90.99,1
200,full,110.47,1
201,full,81.71,1
202,full,89.00,1
203,full,92.80,1
204,full,131.00,1
205,full,82.87,1
206,full,116.07,1
207,full,84.55,1
208,full,85.84,1
209,full,104.84,1
210,full,86.97,1
211,full,93.14,1
212,full,102.16,1
213,full,78.68,1
214,full,92.92,1
215,full,75.19,1
216,full,81.03,1
217,full,77.76,1
218,full,77.48,1
219,full,80.13,1
220,full,82.57,1
221,full,84.54,1
222,full,177.59,1
223,full,74.90,1
224,full,73.56,1
225,full,79.11,1
226,full,204.10,1
227,full,78.09,1
228,full,89.06,1
229,full,77.92,1
230,full,75.93,1
231,full,75.15,1
232,full,87.58,1
233,full,77.44,1
234,full,77.20,1
235,full,75.41,1
236,full,79.81,1
237,full,78.24,1
238,full,79.34,1
239,full,76.45,1
240,full,83.36,1
241,full,86.46,1
242,full,114.42,1
243,full,77.52,1
244,full,75.21,1
245,full,85.83,1
246,full,456.40,1
247,full,83.79,1
248,full,78.55,1
249,full,76.33,1
250,full,84.29,1
251,full,78.78,1
252,full,75.82,1
253,full,82.39,1
254,full,77.83,1
255,full,75.18,1
256,full,82.06,1
257,full,75.63,1
258,full,82.80,1
259,full,361.89,1
260,full,75.88,1
261,full,103.68,1
262,full,83.70,1
263,full,111.04,1
264,full,93.80,1
265,full,153.60,1
266,full,77.75,1
267,full,76.02,1
268,full,2078.59,1
269,full,78.65,1
270,full,74.19,1
271,full,77.11,1
272,full,78.13,1
273,full,79.95,1
274,full,75.88,1
275,full,85.55,1
276,full,77.41,1
277,full,85.02,1
278,full,74.38,1
279,full,75.32,1
280,full,87.42,1
281,full,91.30,1
282,full,74.72,1
283,full,76.31,1
284,full,81.98,1
285,full,2119.59,1
286,full,85.24,1
287,full,74.27,1
288,full,96.97,1
289,full,98.08,1
290,full,74.00,1
291,full,76.07,1
292,full,81.95,1
293,full,77.39,1
294,full,78.38,1
295,full,79.50,1
296,full,78.26,1
297,full,77.50,1
298,full,76.27,1
299,full,104.52,1
300,full,82.47,1
301,full,73.61,1
302,full,233.91,1
303,full,75.83,1
304,full,75.08,1
305,full,89.39,1
306,full,101.47,1
307,full,82.37,1
308,full,99.56,1
309,full,75.76,1
310,full,76.27,1
311,full,80.09,1
312,full,75.52,1
313,full,1097.99,1
314,full,155.06,1
315,full,74.69,1
316,full,80.35,1
317,full,112.11,1
318,full,73.69,1
319,full,81.49,1
320,full,77.44,1
321,full,82.11,1
322,full,87.90,1
323,full,95.04,1
324,full,95.92,1
325,full,78.37,1
326,full,82.96,1
327,full,79.39,1
328,full,138.31,1
329,full,251.85,1
330,full,257.99,1
331,full,77.17,1
332,full,92.91,1
333,full,75.94,1
334,full,228.25,1
335,full,80.81,1
336,full,75.08,1
337,full,78.68,1
338,full,88.29,1
339,full,79.75,1
340,full,81.33,1
341,full,80.41,1
342,full,74.23,1
343,full,78.54,1
344,full,93.85,1
345,full,79.75,1
346,full,78.53,1
347,full,86.99,1
348,full,85.92,1
349,full,84.72,1
350,full,77.33,1
351,full,81.56,1
352,full,74.59,1
353,full,76.37,1
354,full,74.39,1
355,full,75.10,1
356,full,75.11,1
357,full,78.92,1
358,full,84.08,1
359,full,76.46,1
360,full,93.81,1
361,full,104.04,1
362,full,75.66,1
363,full,84.40,1
364,full,77.68,1
365,full,86.95,1
366,full,2080.52,1
367,full,90.25,1
368,full,103.22,1
369,full,82.86,1
370,full,77.13,1
371,full,83.83,1
372,full,114.95,1
373,full,92.17,1
