run_id,handshake_type,duration_ms,success
1,full,758.34,1
2,full,840.45,1
3,full,410.74,1
4,full,227.09,1
5,full,308.38,1
6,full,427.79,1
7,full,201.44,1
8,full,223.52,1
9,full,270.11,1
10,full,402.72,1
11,full,669.71,1
12,full,205.13,1
13,full,224.71,1
14,full,248.60,1
15,full,232.45,1
16,full,205.00,1
17,full,520.17,1
18,full,242.23,1
19,full,239.03,1
20,full,208.25,1
21,full,447.04,1
22,full,526.64,1
23,full,236.70,1
24,full,186.49,1
25,full,435.02,1
26,full,203.95,1
27,full,272.20,1
28,full,215.80,1
29,full,339.83,1
30,full,371.95,1
31,full,364.27,1
32,full,176.23,1
33,full,239.64,1
34,full,326.85,1
35,full,292.35,1
36,full,470.41,1
37,full,336.40,1
38,full,208.90,1
39,full,168.50,1
40,full,279.31,1
41,full,399.24,1
42,full,254.19,1
43,full,305.94,1
44,full,444.35,1
45,full,1346.79,1
46,full,695.20,1
47,full,366.58,1
48,full,277.94,1
49,full,655.70,1
50,full,1019.72,1
51,full,271.24,1
52,full,518.41,1
53,full,288.31,1
54,full,248.60,1
55,full,299.56,1
56,full,179.23,1
57,full,303.56,1
58,full,332.25,1
59,full,208.55,1
60,full,295.63,1
61,full,523.92,1
62,full,187.84,1
63,full,261.34,1
64,full,281.13,1
65,full,1037.33,1
66,full,232.67,1
67,full,343.43,1
68,full,788.41,1
69,full,383.05,1
70,full,242.34,1
71,full,451.84,1
72,full,750.33,1
73,full,430.43,1
74,full,327.82,1
75,full,289.44,1
76,full,290.17,1
77,full,390.22,1
78,full,421.94,1
79,full,678.97,1
80,full,220.43,1
81,full,264.71,1
82,full,481.21,1
83,full,503.97,1
84,full,349.46,1
85,full,350.58,1
86,full,439.12,1
87,full,294.77,1
88,full,344.45,1
89,full,482.40,1
90,full,712.77,1
91,full,850.38,1
92,full,475.18,1
93,full,396.42,1
94,full,630.55,1
95,full,375.05,1
96,full,223.89,1
97,full,299.41,1
98,full,374.82,1
99,full,272.55,1
100,full,508.18,1
101,full,291.27,1
102,full,711.63,1
103,full,264.75,1
104,full,1103.60,1
105,full,418.04,1
106,full,481.41,1
107,full,324.58,1
108,full,757.13,1
109,full,504.70,1
110,full,201.18,1
111,full,240.50,1
112,full,268.80,1
113,full,563.42,1
114,full,426.21,1
115,full,406.88,1
116,full,565.64,1
117,full,357.66,1
118,full,216.51,1
119,full,244.03,1
120,full,441.48,1
121,full,248.08,1
122,full,442.89,1
123,full,460.67,1
124,full,686.93,1
125,full,226.82,1
126,full,462.09,1
127,full,414.52,1
128,full,509.23,1
129,full,397.93,1
130,full,534.10,1
131,full,434.33,1
132,full,419.95,1
133,full,373.47,1
134,full,249.72,1
135,full,200.74,1
136,full,295.05,1
137,full,200.49,1
138,full,208.65,1
139,full,467.79,1
140,full,224.84,1
141,full,225.26,1
142,full,286.15,1
143,full,204.10,1
144,full,420.34,1
145,full,345.64,1
146,full,247.40,1
147,full,256.74,1
148,full,250.42,1
149,full,466.94,1
150,full,437.90,1
151,full,225.23,1
152,full,227.60,1
153,full,376.64,1
154,full,417.33,1
155,full,411.69,1
156,full,398.08,1
157,full,480.99,1
158,full,204.35,1
159,full,219.31,1
160,full,192.48,1
161,full,187.10,1
162,full,274.52,1
163,full,251.38,1
164,full,368.68,1
165,full,416.10,1
166,full,256.19,1
167,full,457.64,1
168,full,247.71,1
169,full,416.50,1
170,full,189.94,1
171,full,364.44,1
172,full,194.72,1
173,full,393.57,1
174,full,735.54,1
175,full,238.72,1
176,full,226.38,1
177,full,310.11,1
178,full,374.86,1
179,full,552.34,1
180,full,230.75,1
181,full,439.10,1
182,full,475.18,1
183,full,585.63,1
184,full,217.19,1
185,full,195.06,1
186,full,382.20,1
187,full,390.34,1
188,full,421.16,1
189,full,610.96,1
190,full,235.86,1
191,full,411.66,1
192,full,561.17,1
193,full,459.61,1
194,full,330.06,1
195,full,381.40,1
196,full,295.79,1
197,full,211.75,1
198,full,213.81,1
199,full,236.70,1
200,full,290.20,1
201,full,256.49,1
202,full,601.04,1
203,full,344.94,1
204,full,217.11,1
205,full,526.41,1
206,full,249.20,1
207,full,237.01,1
208,full,245.79,1
209,full,338.98,1
210,full,477.62,1
211,full,237.82,1
212,full,370.34,1
213,full,241.27,1
214,full,214.08,1
215,full,479.94,1
216,full,234.50,1
217,full,396.49,1
218,full,669.27,1
219,full,864.30,1
220,full,372.61,1
221,full,339.57,1
222,full,189.97,1
223,full,244.63,1
224,full,723.33,1
225,full,210.44,1
226,full,220.30,1
227,full,236.60,1
228,full,496.33,1
229,full,387.06,1
230,full,342.46,1
231,full,329.26,1
232,full,744.37,1
233,full,344.60,1
234,full,411.98,1
235,full,517.34,1
236,full,241.35,1
237,full,253.40,1
238,full,331.11,1
239,full,246.45,1
240,full,283.54,1
241,full,207.35,1
242,full,206.32,1
243,full,206.50,1
244,full,312.59,1
245,full,223.44,1
246,full,261.21,1
247,full,350.69,1
248,full,216.23,1
249,full,229.07,1
250,full,295.82,1
251,full,345.13,1
252,full,252.39,1
253,full,227.47,1
254,full,315.65,1
255,full,352.91,1
256,full,268.18,1
257,full,302.93,1
258,full,962.46,1
259,full,224.78,1
260,full,359.76,1
261,full,567.79,1
262,full,389.49,1
263,full,310.50,1
264,full,239.54,1
265,full,283.19,1
266,full,415.24,1
267,full,342.52,1
268,full,346.70,1
269,full,290.40,1
270,full,576.13,1
271,full,413.27,1
272,full,297.69,1
273,full,403.09,1
274,full,313.44,1
275,full,723.63,1
276,full,486.47,1
277,full,356.97,1
278,full,335.68,1
279,full,354.46,1
280,full,423.15,1
281,full,491.25,1
282,full,546.17,1
283,full,419.20,1
284,full,501.18,1
285,full,761.06,1
286,full,595.56,1
287,full,271.29,1
288,full,402.98,1
289,full,903.48,1
290,full,359.29,1
291,full,564.50,1
292,full,291.00,1
293,full,203.03,1
294,full,215.38,1
295,full,193.80,1
296,full,195.91,1
297,full,382.33,1
298,full,401.16,1
299,full,333.15,1
300,full,462.90,1
301,full,204.24,1
302,full,649.87,1
303,full,346.73,1
304,full,441.94,1
305,full,210.69,1
306,full,183.91,1
307,full,373.98,1
308,full,204.28,1
309,full,309.98,1
310,full,341.77,1
311,full,238.93,1
312,full,386.75,1
313,full,284.68,1
314,full,1664.47,1
315,full,900.49,1
316,full,434.91,1
317,full,374.18,1
318,full,350.38,1
319,full,371.77,1
320,full,184.92,1
321,full,838.11,1
322,full,407.50,1
323,full,246.37,1
324,full,432.12,1
325,full,411.16,1
326,full,398.46,1
327,full,651.60,1
328,full,351.88,1
329,full,392.31,1
330,full,183.98,1
331,full,239.42,1
332,full,222.38,1
333,full,247.31,1
334,full,203.33,1
335,full,174.35,1
336,full,192.30,1
337,full,295.80,1
338,full,395.83,1
339,full,564.67,1
340,full,222.29,1
341,full,642.48,1
342,full,201.62,1
343,full,302.24,1
344,full,269.53,1
345,full,283.97,1
346,full,252.24,1
347,full,199.57,1
348,full,270.23,1
349,full,264.06,1
350,full,272.07,1
351,full,398.64,1
352,full,241.17,1
353,full,305.79,1
354,full,286.05,1
355,full,236.45,1
356,full,483.52,1
357,full,275.74,1
358,full,247.34,1
359,full,750.84,1
360,full,845.49,1
361,full,461.93,1
362,full,358.07,1
363,full,215.68,1
364,full,432.97,1
365,full,395.55,1
366,full,219.57,1
367,full,401.39,1
368,full,532.34,1
369,full,372.33,1
370,full,384.13,1
371,full,312.44,1
372,full,253.54,1
373,full,319.25,1
374,full,238.72,1
375,full,403.15,1
376,full,226.58,1
377,full,184.94,1
378,full,259.08,1
379,full,483.37,1
380,full,304.53,1
381,full,189.02,1
382,full,315.66,1
383,full,291.92,1
384,full,239.82,1
385,full,250.39,1
386,full,289.28,1
387,full,363.17,1
388,full,202.84,1
389,full,199.17,1
390,full,341.11,1
391,full,230.87,1
392,full,195.12,1
393,full,208.71,1
394,full,240.33,1
395,full,229.50,1
396,full,250.52,1
397,full,213.27,1
398,full,659.93,1
399,full,240.54,1
400,full,375.46,1
401,full,362.63,1
402,full,258.87,1
403,full,319.94,1
404,full,193.57,1
405,full,201.83,1
406,full,387.35,1
407,full,231.22,1
408,full,710.88,1
409,full,247.58,1
410,full,439.89,1
411,full,406.32,1
412,full,295.00,1
413,full,614.31,1
414,full,480.77,1
415,full,269.71,1
416,full,318.53,1
417,full,286.66,1
418,full,417.18,1
419,full,313.04,1
420,full,477.06,1
421,full,200.28,1
422,full,566.88,1
423,full,313.48,1
424,full,1017.42,1
425,full,368.00,1
426,full,289.21,1
427,full,843.42,1
428,full,445.33,1
429,full,559.73,1
430,full,205.62,1
431,full,407.53,1
432,full,427.04,1
433,full,284.88,1
434,full,223.54,1
435,full,262.71,1
436,full,522.63,1
437,full,361.44,1
438,full,387.83,1
439,full,314.18,1
440,full,361.91,1
441,full,1168.83,1
442,full,455.10,1
443,full,250.38,1
444,full,292.18,1
445,full,180.03,1
446,full,650.99,1
447,full,270.35,1
448,full,306.51,1
449,full,301.77,1
450,full,245.68,1
451,full,344.19,1
452,full,241.37,1
453,full,311.61,1
454,full,391.12,1
455,full,347.58,1
