run_id,handshake_type,duration_ms,success
1,full,9.12,1
2,full,6.92,1
3,full,35.99,1
4,full,3.20,1
5,full,17.17,1
6,full,4.02,1
7,full,2041.01,1
8,full,12.33,1
9,full,4.35,1
10,full,6.43,1
11,full,15.39,1
12,full,32.97,1
13,full,2016.13,1
14,full,5.87,1
15,full,13.39,1
16,full,10.37,1
17,full,6.78,1
18,full,5.70,1
19,full,38.34,1
20,full,126.86,1
21,full,55.12,1
22,full,4.71,1
23,full,50.40,1
24,full,2064.30,1
25,full,22.56,1
26,full,2.86,1
27,full,1072.19,1
28,full,38.72,1
29,full,28.62,1
30,full,71.09,1
31,full,3009.70,1
32,full,5.83,1
33,full,4.70,1
34,full,1008.37,1
35,full,4.55,1
36,full,37.45,1
37,full,3005.78,1
38,full,9.69,1
39,full,4.00,1
40,full,4016.27,1
41,full,5.90,1
42,full,2002.04,1
43,full,7.17,1
44,full,39.19,1
45,full,2037.22,1
46,full,6.82,1
47,full,106.36,1
48,full,14.87,1
49,full,21.48,1
50,full,8.51,1
51,full,1048.76,1
52,full,1105.41,1
53,full,4.09,1
54,full,11.79,1
55,full,4.54,1
56,full,1122.79,1
57,full,1010.85,1
58,full,8.19,1
59,full,35.51,1
60,full,3.53,1
61,full,4041.77,1
62,full,4.17,1
63,full,2015.90,1
64,full,54.27,1
65,full,18.44,1
66,full,43.83,1
67,full,10995.32,1
68,full,10.35,1
69,full,6.88,1
70,full,12.05,1
71,full,27.21,1
72,full,1053.77,1
73,full,3.30,1
74,full,33.31,1
75,full,38.51,1
76,full,36.20,1
77,full,70.75,1
78,full,4019.42,1
79,full,4.69,1
80,full,5.09,1
81,full,94.00,1
82,full,7.20,1
83,full,1005.83,1
84,full,4.46,1
85,full,31.91,1
86,full,2042.71,1
87,full,2014.02,1
88,full,4.09,1
89,full,18.78,1
90,full,6.06,1
91,full,89.06,1
92,full,58.03,1
93,full,1183.48,1
94,full,82.12,1
95,full,7.26,1
96,full,4.00,1
97,full,4.87,1
98,full,3.88,1
99,full,1013.20,1
100,full,12.26,1
101,full,6.79,1
102,full,2002.28,1
103,full,18.73,1
104,full,2.51,1
105,full,7.36,1
106,full,3109.39,1
107,full,45.19,1
108,full,1083.91,1
109,full,794.81,1
110,full,102.65,1
111,full,404.88,1
112,full,1522.87,1
113,full,52.69,1
114,full,4069.84,1
115,full,3.67,1
116,full,9.48,1
117,full,5.31,1
118,full,6.93,1
119,full,17.55,1
120,full,4.80,1
121,full,31.64,1
122,full,5.29,1
123,full,51.80,1
124,full,7.86,1
125,full,3050.24,1
126,full,3.79,1
127,full,2057.80,1
128,full,501.62,1
129,full,2.73,1
130,full,4.45,1
131,full,3060.88,1
132,full,11.17,1
133,full,8.77,1
134,full,7.76,1
135,full,14.37,1
136,full,2040.04,1
137,full,11.60,1
138,full,7.50,1
139,full,3.27,1
140,full,1031.90,1
141,full,1183.04,1
142,full,75.02,1
143,full,2.90,1
144,full,3.50,1
145,full,7.29,1
146,full,3.42,1
147,full,39.64,1
148,full,7.68,1
149,full,35.93,1
150,full,33.77,1
151,full,4036.15,1
152,full,3642.46,1
153,full,30.00,1
154,full,15.03,1
155,full,1058.63,1
156,full,4.92,1
157,full,17.18,1
158,full,913.14,1
159,full,60.61,1
160,full,2016.34,1
161,full,110.81,1
162,full,7.33,1
163,full,33.59,1
164,full,21.73,1
165,full,10.98,1
166,full,80.00,1
167,full,3037.89,1
168,full,8.05,1
169,full,2335.67,1
170,full,4.36,1
171,full,6.80,1
172,full,4.42,1
173,full,13.84,1
174,full,1033.18,1
175,full,51.97,1
176,full,7.12,1
177,full,47.65,1
178,full,6.78,1
179,full,55.66,1
180,full,19.95,1
181,full,54.23,1
182,full,7.26,1
183,full,99.06,1
184,full,16.63,1
185,full,9.98,1
186,full,28.56,1
187,full,4.61,1
188,full,3.25,1
189,full,2.88,1
190,full,4.01,1
191,full,2.40,1
192,full,2.71,1
193,full,3.02,1
194,full,3.57,1
195,full,13.31,1
196,full,12.15,1
197,full,9.17,1
198,full,2021.39,1
199,full,6.00,1
200,full,1057.67,1
201,full,3.74,1
202,full,6.64,1
203,full,19.67,1
204,full,1027.09,1
205,full,4.83,1
206,full,10.83,1
207,full,5.43,1
208,full,34.49,1
209,full,2046.42,1
210,full,7128.99,1
211,full,20.80,1
212,full,2019.42,1
213,full,114.87,1
214,full,2011.01,1
215,full,5.50,1
216,full,9.29,1
217,full,13.74,1
218,full,13.57,1
219,full,3.21,1
220,full,3.50,1
221,full,25.60,1
222,full,1023.60,1
223,full,30.91,1
224,full,6.57,1
225,full,24.94,1
226,full,9.26,1
227,full,70.56,1
228,full,7.72,1
229,full,7.51,1
230,full,10.59,1
231,full,4.13,1
232,full,62.36,1
233,full,13.36,1
234,full,5.91,1
235,full,51.85,1
236,full,12.89,1
237,full,1030.50,1
238,full,10.67,1
239,full,5.54,1
240,full,9.55,1
241,full,1050.06,1
242,full,5.33,1
243,full,3.17,1
244,full,10.55,1
245,full,28.13,1
246,full,3027.25,1
247,full,8.22,1
248,full,4.74,1
249,full,4.03,1
250,full,12.08,1
251,full,4.90,1
252,full,2005.42,1
253,full,6.13,1
254,full,11.14,1
255,full,50.47,1
256,full,4.74,1
257,full,17.66,1
258,full,3007.42,1
259,full,3.92,1
260,full,2414.02,1
261,full,5.60,1
262,full,2.89,1
263,full,9.21,1
264,full,1021.26,1
265,full,47.93,1
266,full,9.58,1
267,full,13.68,1
268,full,2013.53,1
269,full,35.11,1
270,full,11.49,1
271,full,4.00,1
272,full,57.58,1
273,full,1007.01,1
274,full,6.71,1
275,full,54.31,1
276,full,3116.22,1
277,full,2035.07,1
278,full,204.54,1
279,full,4.39,1
280,full,6.14,1
281,full,2027.84,1
282,full,6.11,1
283,full,115.01,1
284,full,5.74,1
285,full,20.43,1
286,full,6.27,1
287,full,14.58,1
288,full,2085.10,1
289,full,2021.98,1
290,full,29.27,1
291,full,20.81,1
292,full,49.72,1
293,full,1241.05,1
294,full,6.30,1
295,full,3.03,1
296,full,3.98,1
297,full,87.36,1
298,full,45.95,1
299,full,10.48,1
300,full,11.85,1
301,full,18.76,1
302,full,2023.86,1
303,full,6.04,1
304,full,2027.49,1
305,full,28.92,1
306,full,54.78,1
307,full,23.41,1
308,full,2003.42,1
309,full,6.67,1
310,full,5.04,1
311,full,6.37,1
312,full,2009.21,1
313,full,11.66,1
314,full,42.86,1
315,full,3.29,1
316,full,6.50,1
317,full,1018.22,1
318,full,28.18,1
319,full,9.57,1
320,full,2.93,1
321,full,12.62,1
322,full,5.64,1
323,full,3.29,1
324,full,6.21,1
325,full,17.26,1
326,full,55.04,1
327,full,2017.24,1
328,full,5.03,1
329,full,5.83,1
330,full,13.09,1
331,full,2013.09,1
332,full,2012.38,1
333,full,38.31,1
334,full,4.35,1
335,full,12.76,1
336,full,43.91,1
337,full,9.61,1
338,full,3.80,1
339,full,92.52,1
340,full,30.70,1
341,full,11.20,1
342,full,23.64,1
343,full,4.63,1
344,full,13.68,1
345,full,7.83,1
346,full,7.42,1
347,full,6.84,1
348,full,35.79,1
349,full,8.09,1
350,full,22.88,1
351,full,36.11,1
352,full,13.61,1
353,full,167.17,1
354,full,4.02,1
355,full,39.25,1
356,full,12.07,1
357,full,5.65,1
358,full,13.85,1
359,full,3.63,1
360,full,3.42,1
361,full,1016.84,1
362,full,2028.78,1
363,full,5.00,1
364,full,4.29,1
365,full,4.38,1
366,full,3.03,1
367,full,40.13,1
368,full,6.54,1
369,full,3044.01,1
370,full,1075.55,1
371,full,11.93,1
372,full,34.51,1
373,full,16.21,1
374,full,1006.94,1
375,full,102.03,1
376,full,4.92,1
377,full,1016.66,1
378,full,9.35,1
379,full,6.99,1
380,full,5.51,1
381,full,11.44,1
382,full,33.30,1
383,full,1082.76,1
384,full,77.32,1
385,full,25.46,1
386,full,17.44,1
387,full,21.52,1
388,full,2015.72,1
389,full,44.99,1
390,full,2043.46,1
391,full,35.90,1
392,full,41.32,1
393,full,2006.11,1
394,full,6.49,1
395,full,4.91,1
396,full,5.38,1
397,full,2069.78,1
398,full,8.10,1
399,full,3.18,1
400,full,4.70,1
401,full,1113.18,1
402,full,2.88,1
403,full,23.22,1
404,full,11.09,1
405,full,1082.27,1
406,full,9.73,1
407,full,38.12,1
408,full,12.87,1
409,full,2.58,1
410,full,9.18,1
411,full,5.84,1
412,full,2033.17,1
413,full,4.83,1
414,full,2030.67,1
415,full,41.79,1
416,full,79.26,1
417,full,21.91,1
418,full,5.58,1
419,full,3.05,1
420,full,84.99,1
421,full,8.89,1
422,full,3.57,1
423,full,10.03,1
424,full,7.95,1
425,full,7.56,1
426,full,2.94,1
427,full,18.88,1
428,full,5.27,1
429,full,22.55,1
430,full,6.06,1
431,full,3.53,1
432,full,7.21,1
433,full,35.70,1
434,full,8.88,1
435,full,10.50,1
436,full,22.91,1
437,full,51.98,1
438,full,2037.23,1
439,full,25.97,1
440,full,51.12,1
441,full,50.94,1
442,full,7.19,1
443,full,78.52,1
444,full,26.66,1
445,full,38.76,1
446,full,2008.49,1
447,full,11.96,1
448,full,58.77,1
449,full,1012.65,1
450,full,33.63,1
451,full,20.44,1
452,full,11.45,1
453,full,32.13,1
454,full,1097.70,1
455,full,35.61,1
456,full,62.46,1
457,full,2040.63,1
458,full,21.04,1
459,full,1018.89,1
460,full,12.30,1
461,full,78.28,1
462,full,2014.63,1
463,full,70.22,1
464,full,3006.61,1
465,full,8.16,1
466,full,5.32,1
467,full,138.53,1
468,full,6.34,1
469,full,3.25,1
470,full,4.12,1
471,full,36.28,1
472,full,3.60,1
473,full,7.37,1
474,full,37.52,1
475,full,17.23,1
476,full,5.36,1
477,full,7.08,1
478,full,9.82,1
479,full,6.92,1
480,full,7.90,1
481,full,3010.88,1
482,full,10.63,1
483,full,4.28,1
484,full,4.15,1
485,full,7.36,1
486,full,23.00,1
487,full,70.39,1
488,full,2003.28,1
489,full,3.72,1
490,full,2039.47,1
491,full,3.31,1
492,full,4.37,1
493,full,25.95,1
494,full,3.19,1
495,full,14.96,1
496,full,7.43,1
497,full,2045.06,1
498,full,7.84,1
499,full,37.65,1
500,full,7015.66,1
501,resumed,15.08,1
502,resumed,4.53,1
503,resumed,56.11,1
504,resumed,3.11,1
505,resumed,13.84,1
506,resumed,73.29,1
507,resumed,68.97,1
508,resumed,2057.35,1
509,resumed,2035.61,1
510,resumed,4.20,1
511,resumed,3.52,1
512,resumed,4.74,1
513,resumed,3.08,1
514,resumed,7.54,1
515,resumed,35.07,1
516,resumed,4.57,1
517,resumed,8.68,1
518,resumed,2125.94,1
519,resumed,3.21,1
520,resumed,35.65,1
521,resumed,27.22,1
522,resumed,36.81,1
523,resumed,1091.35,1
524,resumed,12.51,1
525,resumed,5.90,1
526,resumed,131.17,1
527,resumed,45.30,1
528,resumed,1012.77,1
529,resumed,11.74,1
530,resumed,7.71,1
531,resumed,10.27,1
532,resumed,3.04,1
533,resumed,50.07,1
534,resumed,2025.22,1
535,resumed,6.40,1
536,resumed,6.32,1
537,resumed,1085.30,1
538,resumed,7010.15,1
539,resumed,62.85,1
540,resumed,32.81,1
541,resumed,2029.73,1
542,resumed,28.11,1
543,resumed,3004.33,1
544,resumed,3.28,1
545,resumed,7.52,1
546,resumed,4.33,1
547,resumed,4.69,1
548,resumed,56.70,1
549,resumed,12.73,1
550,resumed,15.34,1
551,resumed,3.26,1
552,resumed,1100.21,1
553,resumed,7.13,1
554,resumed,3.94,1
555,resumed,17.57,1
556,resumed,7.35,1
557,resumed,43.29,1
558,resumed,1040.09,1
559,resumed,11.90,1
560,resumed,5.77,1
561,resumed,4.90,1
562,resumed,4.71,1
563,resumed,7096.07,1
564,resumed,8.74,1
565,resumed,3.84,1
566,resumed,2013.31,1
567,resumed,2.77,1
568,resumed,2039.26,1
569,resumed,3.33,1
570,resumed,2125.90,1
571,resumed,3.72,1
572,resumed,3.58,1
573,resumed,4.20,1
574,resumed,36.48,1
575,resumed,43.31,1
576,resumed,45.84,1
577,resumed,39.61,1
578,resumed,4.19,1
579,resumed,7.09,1
580,resumed,7.87,1
581,resumed,3.47,1
582,resumed,3.84,1
583,resumed,2062.66,1
584,resumed,181.44,1
585,resumed,20.31,1
586,resumed,12.20,1
587,resumed,4.78,1
588,resumed,5.03,1
589,resumed,7.17,1
590,resumed,3.43,1
591,resumed,13.45,1
592,resumed,28.39,1
593,resumed,41.91,1
594,resumed,1003.98,1
595,resumed,2048.39,1
596,resumed,29.19,1
597,resumed,61.31,1
598,resumed,4.98,1
599,resumed,3.17,1
600,resumed,4.08,1
601,resumed,4.07,1
602,resumed,22.34,1
603,resumed,11.90,1
604,resumed,2039.88,1
605,resumed,4.43,1
606,resumed,27.34,1
607,resumed,2.99,1
608,resumed,2410.16,1
609,resumed,42.05,1
610,resumed,9.31,1
611,resumed,15.45,1
612,resumed,11.68,1
613,resumed,42.37,1
614,resumed,8.64,1
615,resumed,44.76,1
616,resumed,6.24,1
617,resumed,2010.10,1
618,resumed,9.63,1
619,resumed,89.82,1
620,resumed,47.52,1
621,resumed,2006.20,1
622,resumed,52.36,1
623,resumed,3.09,1
624,resumed,9208.82,1
625,resumed,2054.58,1
626,resumed,2151.21,1
627,resumed,21.15,1
628,resumed,94.31,1
629,resumed,4234.61,1
630,resumed,7.34,1
631,resumed,9.57,1
632,resumed,3080.01,1
633,resumed,4.25,1
634,resumed,6.38,1
635,resumed,6.43,1
636,resumed,3.27,1
637,resumed,3062.19,1
638,resumed,7.22,1
639,resumed,49.66,1
640,resumed,136.68,1
641,resumed,111.72,1
642,resumed,6.50,1
643,resumed,27.36,1
644,resumed,32.10,1
645,resumed,40.69,1
646,resumed,4.88,1
647,resumed,13.06,1
648,resumed,5.88,1
649,resumed,2107.87,1
650,resumed,18.52,1
651,resumed,6.28,1
652,resumed,35.02,1
653,resumed,10.31,1
654,resumed,38.46,1
655,resumed,2098.10,1
656,resumed,1054.57,1
657,resumed,89.14,1
658,resumed,4.82,1
659,resumed,8.54,1
660,resumed,237.69,1
661,resumed,10.73,1
662,resumed,3.23,1
663,resumed,2132.06,1
664,resumed,33.91,1
665,resumed,3.78,1
666,resumed,3.65,1
667,resumed,1015.45,1
