run_id,handshake_type,duration_ms,success
1,full,118.39,1
2,full,232.52,1
3,full,263.05,1
4,full,512.01,1
5,full,272.66,1
6,full,141.26,1
7,full,153.82,1
8,full,120.92,1
9,full,131.69,1
10,full,133.03,1
11,full,277.38,1
12,full,1618.87,1
13,full,195.33,1
14,full,770.63,1
15,full,254.34,1
16,full,129.17,1
17,full,309.10,1
18,full,117.71,1
19,full,232.19,1
20,full,437.14,1
21,full,393.44,1
22,full,1031.21,1
23,full,243.15,1
24,full,327.06,1
25,full,137.77,1
26,full,237.48,1
27,full,2437.74,1
28,full,159.07,1
29,full,448.37,1
30,full,148.56,1
31,full,814.12,1
32,full,1228.30,1
33,full,1020.78,1
34,full,1835.02,1
35,full,230.87,1
36,full,1235.14,1
37,full,142.03,1
38,full,140.08,1
39,full,254.15,1
40,full,262.93,1
41,full,250.06,1
42,full,479.16,1
43,full,174.93,1
44,full,122.88,1
45,full,273.00,1
46,full,718.52,1
47,full,780.55,1
48,full,148.96,1
49,full,114.59,1
50,full,1384.51,1
51,full,245.27,1
52,full,172.64,1
53,full,177.66,1
54,full,185.08,1
55,full,182.80,1
56,full,1129.62,1
57,full,137.67,1
58,full,162.85,1
59,full,1021.39,1
60,full,109.79,1
61,full,136.14,1
62,full,184.44,1
63,full,314.48,1
64,full,368.01,1
65,full,175.47,1
66,full,118.20,1
67,full,1254.75,1
68,full,209.34,1
69,full,326.00,1
70,full,1309.20,1
71,full,506.06,1
72,full,215.04,1
73,full,207.49,1
74,full,136.20,1
75,full,145.76,1
76,full,377.10,1
77,full,154.17,1
78,full,1078.13,1
79,full,189.00,1
80,full,1472.39,1
81,full,1329.86,1
82,full,387.16,1
83,full,126.21,1
84,full,214.94,1
85,full,260.95,1
86,full,135.44,1
87,full,736.66,1
88,full,1846.62,1
89,full,186.32,1
90,full,950.49,1
91,full,191.13,1
92,full,195.82,1
93,full,307.32,1
94,full,157.62,1
95,full,250.45,1
96,full,150.55,1
97,full,407.46,1
98,full,4472.92,1
99,full,304.66,1
100,full,507.46,1
101,full,174.42,1
102,full,155.05,1
103,full,132.04,1
104,full,225.58,1
105,full,213.15,1
106,full,124.61,1
107,full,106.01,1
108,full,143.26,1
109,full,422.65,1
110,full,120.20,1
111,full,112.00,1
112,full,129.34,1
113,full,2193.26,1
114,full,486.31,1
115,full,158.79,1
116,full,138.81,1
117,full,228.99,1
118,full,193.67,1
119,full,215.20,1
120,full,648.46,1
121,full,201.61,1
122,full,134.07,1
123,full,354.12,1
124,full,204.05,1
125,full,104.84,1
126,full,343.23,1
127,full,108.50,1
128,full,130.56,1
129,full,136.94,1
130,full,235.17,1
131,full,138.40,1
132,full,136.69,1
133,full,162.53,1
134,full,158.61,1
135,full,489.34,1
136,full,343.55,1
137,full,174.41,1
138,full,163.34,1
139,full,528.61,1
140,full,131.17,1
141,full,160.44,1
142,full,141.19,1
143,full,395.56,1
144,full,1159.74,1
145,full,1410.59,1
146,full,316.26,1
147,full,213.43,1
148,full,400.95,1
149,full,188.57,1
150,full,248.96,1
151,full,365.77,1
152,full,267.89,1
153,full,194.18,1
154,full,264.08,1
155,full,251.15,1
156,full,117.73,1
157,full,279.50,1
158,full,149.32,1
159,full,316.49,1
160,full,344.96,1
161,full,203.64,1
162,full,187.96,1
163,full,1371.98,1
164,full,117.86,1
165,full,113.35,1
166,full,243.63,1
167,full,245.40,1
168,full,316.06,1
169,full,184.17,1
170,full,200.44,1
171,full,226.53,1
172,full,1424.08,1
173,full,257.15,1
174,full,185.50,1
175,full,132.55,1
176,full,189.49,1
177,full,287.76,1
178,full,372.51,1
179,full,181.17,1
180,full,91.62,1
181,full,728.09,1
182,full,178.20,1
183,full,758.62,1
184,full,239.16,1
185,full,151.38,1
186,full,374.81,1
187,full,239.97,1
188,full,226.54,1
189,full,1885.81,1
190,full,284.76,1
191,full,921.57,1
192,full,196.25,1
193,full,206.27,1
194,full,304.63,1
195,full,228.78,1
196,full,129.06,1
197,full,1176.00,1
198,full,1417.68,1
199,full,215.41,1
200,full,351.26,1
201,full,253.01,1
202,full,745.74,1
203,full,820.50,1
204,full,144.50,1
205,full,640.45,1
206,full,109.25,1
207,full,557.71,1
208,full,287.10,1
209,full,148.63,1
210,full,116.03,1
211,full,3249.20,1
212,full,121.94,1
213,full,1154.47,1
214,full,149.26,1
215,full,135.70,1
216,full,254.91,1
217,full,911.84,1
218,full,134.54,1
219,full,285.50,1
220,full,257.67,1
221,full,1062.73,1
222,full,470.63,1
223,full,147.03,1
224,full,219.22,1
225,full,1455.40,1
226,full,510.39,1
227,full,466.61,1
228,full,116.59,1
229,full,243.36,1
230,full,146.37,1
231,full,353.49,1
232,full,577.09,1
233,full,274.88,1
234,full,136.16,1
235,full,1285.08,1
236,full,154.19,1
237,full,198.94,1
238,full,295.76,1
239,full,145.22,1
240,full,264.48,1
241,full,642.20,1
242,full,1493.27,1
243,full,711.08,1
244,full,207.28,1
245,full,552.68,1
246,full,362.48,1
247,full,178.44,1
248,full,142.51,1
249,full,158.91,1
250,full,685.78,1
251,full,154.47,1
252,full,208.67,1
253,full,252.44,1
254,full,296.36,1
255,full,279.72,1
256,full,2133.07,1
257,full,1672.14,1
258,full,698.55,1
259,full,111.67,1
260,full,129.78,1
261,full,330.27,1
262,full,468.67,1
263,full,214.35,1
264,full,221.07,1
265,full,118.29,1
266,full,456.27,1
267,full,1990.17,1
268,full,212.17,1
269,full,191.80,1
270,full,559.19,1
271,full,113.56,1
272,full,119.30,1
273,full,627.64,1
274,full,657.38,1
275,full,159.57,1
276,full,208.59,1
277,full,201.62,1
278,full,154.81,1
279,full,428.68,1
280,full,294.79,1
281,full,1411.93,1
282,full,118.32,1
283,full,283.14,1
284,full,1555.51,1
285,full,128.50,1
286,full,169.92,1
287,full,166.40,1
288,full,123.97,1
289,full,184.92,1
290,full,1537.26,1
291,full,137.51,1
292,full,547.57,1
293,full,218.88,1
294,full,225.39,1
295,full,265.10,1
296,full,1196.11,1
297,full,174.67,1
298,full,153.95,1
299,full,271.92,1
300,full,129.13,1
301,full,116.10,1
302,full,623.95,1
303,full,937.22,1
304,full,132.92,1
305,full,155.68,1
306,full,235.82,1
307,full,192.12,1
308,full,777.16,1
309,full,811.81,1
310,full,135.23,1
311,full,145.37,1
312,full,1255.43,1
313,full,336.51,1
314,full,164.90,1
315,full,157.75,1
316,full,401.07,1
317,full,174.76,1
318,full,474.47,1
319,full,579.70,1
320,full,351.05,1
321,full,233.99,1
322,full,163.33,1
323,full,222.66,1
324,full,179.19,1
325,full,153.03,1
326,full,746.76,1
327,full,240.49,1
328,full,364.68,1
329,full,204.09,1
330,full,499.14,1
331,full,395.07,1
332,full,136.15,1
333,full,315.01,1
334,full,278.30,1
335,full,373.42,1
336,full,252.24,1
337,full,1104.36,1
338,full,432.49,1
339,full,568.23,1
340,full,152.96,1
341,full,162.98,1
342,full,849.25,1
343,full,537.83,1
344,full,161.72,1
345,full,176.64,1
346,full,133.12,1
347,full,210.61,1
348,full,675.63,1
349,full,437.05,1
350,full,193.97,1
351,full,226.17,1
352,full,224.28,1
353,full,508.58,1
354,full,467.26,1
355,full,138.88,1
356,full,194.35,1
357,full,403.13,1
358,full,419.99,1
359,full,455.82,1
360,full,910.65,1
361,full,2481.83,1
362,full,157.82,1
363,full,576.57,1
364,full,239.69,1
365,full,506.48,1
366,full,326.09,1
367,full,125.71,1
368,full,103.10,1
369,full,112.28,1
370,full,311.95,1
371,full,270.56,1
372,full,146.60,1
373,full,315.41,1
374,full,144.86,1
375,full,134.83,1
376,full,349.46,1
377,full,429.61,1
378,full,1321.40,1
