run_id,handshake_type,duration_ms,success
1,full,58,1
2,full,55,1
3,full,39,1
4,full,37,1
5,full,21,1
6,full,29,1
7,full,51,1
8,full,28,1
9,full,45,1
10,full,42,1
11,full,40,1
12,full,25,1
13,full,24,1
14,full,31,1
15,full,62,1
16,full,25,1
17,full,38,1
18,full,38,1
19,full,29,1
20,full,47,1
21,full,37,1
22,full,19,1
23,full,42,1
24,full,22,1
25,full,43,1
26,full,68,1
27,full,68,1
28,full,24,1
29,full,20,1
30,full,22,1
31,full,31,1
32,full,30,1
33,full,39,1
34,full,24,1
35,full,26,1
36,full,29,1
37,full,78,1
38,full,224,1
39,full,62,1
40,full,32,1
41,full,27,1
42,full,49,1
43,full,94,1
44,full,103,1
45,full,37,1
46,full,24,1
47,full,23,1
48,full,160,1
49,full,51,1
50,full,33,1
51,full,39,1
52,full,40,1
53,full,42,1
54,full,31,1
55,full,35,1
56,full,120,1
57,full,47,1
58,full,28,1
59,full,23,1
60,full,52,1
61,full,22,1
62,full,27,1
63,full,31,1
64,full,23,1
65,full,26,1
66,full,54,1
67,full,19,1
68,full,32,1
69,full,35,1
70,full,49,1
71,full,61,1
72,full,24,1
73,full,22,1
74,full,25,1
75,full,30,1
76,full,31,1
77,full,47,1
78,full,22,1
79,full,29,1
80,full,62,1
81,full,44,1
82,full,38,1
83,full,41,1
84,full,29,1
85,full,57,1
86,full,30,1
87,full,25,1
88,full,27,1
89,full,32,1
90,full,38,1
91,full,27,1
92,full,50,1
93,full,39,1
94,full,55,1
95,full,40,1
96,full,68,1
97,full,73,1
98,full,79,1
99,full,84,1
100,full,55,1
101,full,129,1
102,full,37,1
103,full,23,1
104,full,23,1
105,full,148,1
106,full,89,1
107,full,34,1
108,full,38,1
109,full,24,1
110,full,24,1
111,full,20,1
112,full,26,1
113,full,81,1
114,full,25,1
115,full,38,1
116,full,25,1
117,full,45,1
118,full,45,1
119,full,43,1
120,full,32,1
121,full,59,1
122,full,27,1
123,full,23,1
124,full,30,1
125,full,18,1
126,full,34,1
127,full,24,1
128,full,28,1
129,full,21,1
130,full,23,1
131,full,45,1
132,full,23,1
133,full,49,1
134,full,45,1
135,full,22,1
136,full,23,1
137,full,25,1
138,full,32,1
139,full,25,1
140,full,19,1
141,full,24,1
142,full,23,1
143,full,39,1
144,full,44,1
145,full,29,1
146,full,20,1
147,full,25,1
148,full,30,1
149,full,47,1
150,full,31,1
151,full,39,1
152,full,49,1
153,full,29,1
154,full,71,1
155,full,238,1
156,full,28,1
157,full,42,1
158,full,29,1
159,full,41,1
160,full,60,1
161,full,38,1
162,full,37,1
163,full,20,1
164,full,31,1
165,full,37,1
166,full,42,1
167,full,24,1
168,full,31,1
169,full,34,1
170,full,66,1
171,full,24,1
172,full,23,1
173,full,34,1
174,full,49,1
175,full,36,1
176,full,37,1
177,full,43,1
178,full,141,1
179,full,33,1
180,full,72,1
181,full,115,1
182,full,59,1
183,full,32,1
184,full,30,1
185,full,23,1
186,full,41,1
187,full,29,1
188,full,42,1
189,full,30,1
190,full,35,1
191,full,65,1
192,full,36,1
193,full,24,1
194,full,35,1
195,full,27,1
196,full,47,1
197,full,39,1
198,full,40,1
199,full,41,1
200,full,36,1
201,full,76,1
202,full,52,1
203,full,42,1
204,full,162,1
205,full,28,1
206,full,41,1
207,full,131,1
208,full,46,1
209,full,34,1
210,full,30,1
211,full,28,1
212,full,28,1
213,full,25,1
214,full,44,1
215,full,55,1
216,full,65,1
217,full,52,1
218,full,33,1
219,full,32,1
220,full,80,1
221,full,55,1
222,full,70,1
223,full,22,1
224,full,36,1
225,full,29,1
226,full,23,1
227,full,26,1
228,full,27,1
229,full,19,1
230,full,25,1
231,full,22,1
232,full,49,1
233,full,34,1
234,full,32,1
235,full,52,1
236,full,97,1
237,full,25,1
238,full,71,1
239,full,22,1
240,full,126,1
241,full,22,1
242,full,40,1
243,full,29,1
244,full,24,1
245,full,32,1
246,full,24,1
247,full,34,1
248,full,161,1
249,full,21,1
250,full,24,1
251,full,35,1
252,full,34,1
253,full,58,1
254,full,111,1
255,full,253,1
256,full,31,1
257,full,26,1
258,full,29,1
259,full,34,1
260,full,49,1
261,full,46,1
262,full,120,1
263,full,100,1
264,full,31,1
265,full,28,1
266,full,21,1
267,full,45,1
268,full,45,1
269,full,84,1
270,full,35,1
271,full,23,1
272,full,29,1
273,full,21,1
274,full,28,1
275,full,133,1
276,full,78,1
277,full,35,1
278,full,23,1
279,full,33,1
280,full,34,1
281,full,44,1
282,full,29,1
283,full,37,1
284,full,95,1
285,full,62,1
286,full,121,1
287,full,74,1
288,full,24,1
289,full,23,1
290,full,27,1
291,full,147,1
292,full,21,1
293,full,68,1
294,full,27,1
295,full,26,1
296,full,18,1
297,full,21,1
298,full,27,1
299,full,29,1
300,full,31,1
301,full,35,1
302,full,56,1
303,full,36,1
304,full,22,1
305,full,35,1
306,full,50,1
307,full,27,1
308,full,22,1
309,full,25,1
310,full,33,1
311,full,55,1
312,full,265,1
313,full,93,1
314,full,28,1
315,full,97,1
316,full,20,1
317,full,28,1
318,full,54,1
319,full,26,1
320,full,50,1
321,full,33,1
322,full,38,1
323,full,28,1
324,full,23,1
325,full,39,1
326,full,49,1
327,full,33,1
328,full,28,1
329,full,84,1
330,full,199,1
331,full,202,1
332,full,52,1
333,full,35,1
334,full,48,1
335,full,33,1
336,full,51,1
337,full,64,1
338,full,42,1
339,full,44,1
340,full,64,1
341,full,23,1
342,full,29,1
343,full,27,1
344,full,30,1
345,full,34,1
346,full,35,1
347,full,48,1
348,full,32,1
349,full,27,1
350,full,29,1
351,full,46,1
352,full,38,1
353,full,20,1
354,full,27,1
355,full,21,1
356,full,22,1
357,full,25,1
358,full,39,1
359,full,22,1
360,full,29,1
361,full,23,1
362,full,34,1
363,full,43,1
364,full,116,1
365,full,54,1
366,full,41,1
367,full,35,1
368,full,41,1
369,full,18,1
370,full,68,1
371,full,35,1
372,full,51,1
373,full,73,1
374,full,52,1
375,full,28,1
376,full,26,1
377,full,90,1
378,full,21,1
379,full,20,1
380,full,20,1
381,full,58,1
382,full,40,1
383,full,19,1
384,full,28,1
385,full,27,1
386,full,22,1
387,full,37,1
388,full,43,1
389,full,34,1
390,full,30,1
391,full,36,1
392,full,37,1
393,full,37,1
394,full,32,1
395,full,71,1
396,full,40,1
397,full,50,1
398,full,19,1
399,full,23,1
400,full,50,1
401,full,32,1
