run_id,handshake_type,duration_ms,success
1,full,1042,1
2,full,847,1
3,full,900,1
4,full,724,1
5,full,654,1
6,full,900,1
7,full,1795,1
8,full,2596,1
9,full,632,1
10,full,1041,1
11,full,822,1
12,full,649,1
13,full,2755,1
14,full,632,1
15,full,1939,1
16,full,1173,1
17,full,898,1
18,full,2293,1
19,full,1155,1
20,full,634,1
21,full,631,1
22,full,892,1
23,full,887,1
24,full,948,1
25,full,1107,1
26,full,1212,1
27,full,2544,1
28,full,2650,1
29,full,900,1
30,full,1156,1
31,full,859,1
32,full,3253,1
33,full,839,1
34,full,629,1
35,full,925,1
36,full,1806,1
37,full,846,1
38,full,860,1
39,full,915,1
40,full,629,1
41,full,1546,1
42,full,961,1
43,full,668,1
44,full,2219,1
45,full,940,1
46,full,2337,1
47,full,1120,1
48,full,654,1
49,full,2785,1
50,full,743,1
51,full,649,1
52,full,907,1
53,full,780,1
54,full,643,1
55,full,2310,1
56,full,1795,1
57,full,1408,1
58,full,950,1
59,full,840,1
60,full,644,1
61,full,2154,1
62,full,2476,1
63,full,773,1
64,full,649,1
65,full,2394,1
66,full,957,1
67,full,732,1
68,full,685,1
69,full,762,1
70,full,762,1
71,full,837,1
72,full,664,1
73,full,673,1
74,full,949,1
75,full,739,1
76,full,1104,1
77,full,674,1
78,full,2538,1
79,full,635,1
80,full,700,1
81,full,669,1
82,full,2462,1
83,full,894,1
84,full,2370,1
85,full,910,1
86,full,641,1
87,full,630,1
88,full,627,1
89,full,1804,1
90,full,1035,1
91,full,630,1
92,full,998,1
93,full,1877,1
94,full,979,1
95,full,801,1
96,full,793,1
97,full,893,1
98,full,784,1
99,full,891,1
100,full,954,1
101,full,892,1
102,full,3708,1
103,full,1265,1
104,full,650,1
105,full,652,1
106,full,915,1
107,full,1254,1
108,full,875,1
109,full,2847,1
110,full,2733,1
111,full,1966,1
112,full,644,1
113,full,690,1
114,full,682,1
115,full,1540,1
116,full,843,1
117,full,1932,1
118,full,852,1
119,full,955,1
120,full,656,1
121,full,2452,1
122,full,675,1
123,full,1721,1
124,full,2643,1
125,full,992,1
126,full,2513,1
127,full,824,1
128,full,2022,1
129,full,810,1
130,full,1885,1
131,full,949,1
132,full,1067,1
133,full,651,1
134,full,737,1
135,full,780,1
136,full,895,1
137,full,2279,1
138,full,642,1
139,full,2563,1
140,full,981,1
141,full,1958,1
142,full,862,1
143,full,3602,1
144,full,974,1
145,full,2896,1
146,full,2636,1
147,full,988,1
148,full,949,1
149,full,699,1
150,full,1073,1
151,full,1369,1
152,full,1050,1
153,full,787,1
154,full,803,1
155,full,1212,1
156,full,991,1
157,full,1434,1
158,full,991,1
159,full,894,1
160,full,851,1
161,full,1559,1
162,full,719,1
163,full,1713,1
164,full,659,1
165,full,1160,1
166,full,857,1
167,full,1187,1
168,full,3047,1
169,full,1178,1
170,full,689,1
171,full,1874,1
172,full,711,1
173,full,652,1
174,full,1595,1
175,full,669,1
176,full,672,1
177,full,891,1
178,full,1731,1
179,full,875,1
180,full,636,1
181,full,661,1
182,full,753,1
183,full,641,1
184,full,1108,1
185,full,950,1
186,full,988,1
187,full,2334,1
188,full,691,1
189,full,1171,1
190,full,834,1
191,full,688,1
192,full,2272,1
193,full,890,1
194,full,850,1
195,full,2559,1
196,full,744,1
197,full,645,1
198,full,886,1
199,full,1124,1
200,full,641,1
201,full,840,1
202,full,694,1
203,full,628,1
204,full,662,1
205,full,883,1
206,full,2943,1
207,full,1034,1
208,full,1692,1
209,full,1805,1
210,full,636,1
211,full,905,1
212,full,935,1
213,full,691,1
214,full,2367,1
215,full,847,1
216,full,2293,1
217,full,3690,1
218,full,1094,1
219,full,3524,1
220,full,1104,1
221,full,941,1
222,full,946,1
223,full,657,1
224,full,897,1
225,full,883,1
226,full,627,1
227,full,2740,1
228,full,858,1
229,full,640,1
230,full,3563,1
231,full,928,1
232,full,3152,1
233,full,644,1
234,full,1181,1
235,full,723,1
236,full,913,1
237,full,896,1
238,full,1245,1
239,full,920,1
240,full,710,1
241,full,678,1
242,full,1986,1
243,full,2568,1
244,full,1079,1
245,full,2292,1
246,full,7152,1
247,full,1614,1
248,full,942,1
249,full,709,1
250,full,941,1
251,full,685,1
252,full,1027,1
253,full,1754,1
254,full,1547,1
255,full,1943,1
256,full,834,1
257,full,2323,1
258,full,1228,1
259,full,2501,1
260,full,918,1
261,full,728,1
262,full,858,1
263,full,1367,1
264,full,1144,1
265,full,2001,1
266,full,895,1
267,full,926,1
268,full,2131,1
269,full,766,1
270,full,1157,1
271,full,3207,1
272,full,809,1
273,full,930,1
274,full,976,1
275,full,1161,1
276,full,1281,1
277,full,656,1
278,full,1011,1
279,full,678,1
280,full,732,1
281,full,1072,1
282,full,856,1
283,full,979,1
284,full,652,1
285,full,668,1
286,full,644,1
287,full,840,1
288,full,633,1
289,full,945,1
290,full,694,1
291,full,756,1
292,full,690,1
293,full,1738,1
294,full,685,1
295,full,708,1
296,full,957,1
297,full,852,1
298,full,1864,1
299,full,850,1
300,full,675,1
301,full,1448,1
302,full,1053,1
303,full,714,1
304,full,678,1
305,full,644,1
306,full,2432,1
307,full,929,1
308,full,736,1
309,full,955,1
310,full,928,1
311,full,710,1
312,full,767,1
313,full,658,1
314,full,1671,1
315,full,1675,1
316,full,1106,1
317,full,793,1
318,full,994,1
319,full,662,1
320,full,942,1
321,full,933,1
322,full,964,1
323,full,1826,1
324,full,2456,1
325,full,645,1
326,full,854,1
327,full,646,1
328,full,863,1
329,full,655,1
330,full,935,1
331,full,949,1
332,full,637,1
333,full,840,1
334,full,1165,1
335,full,3106,1
336,full,1205,1
337,full,1161,1
338,full,1076,1
339,full,3491,1
340,full,951,1
341,full,1124,1
342,full,1453,1
343,full,1105,1
344,full,1013,1
345,full,954,1
346,full,952,1
347,full,787,1
348,full,1167,1
349,full,1214,1
350,full,886,1
351,full,746,1
352,full,3980,1
353,full,2102,1
354,full,629,1
355,full,972,1
356,full,909,1
357,full,665,1
358,full,896,1
359,full,625,1
360,full,1047,1
361,full,840,1
362,full,662,1
363,full,663,1
364,full,655,1
365,full,1087,1
366,full,912,1
367,full,755,1
368,full,671,1
369,full,712,1
370,full,857,1
371,full,1757,1
372,full,1691,1
373,full,1293,1
374,full,898,1
375,full,2304,1
376,full,833,1
377,full,719,1
378,full,1002,1
379,full,1023,1
380,full,636,1
381,full,895,1
382,full,655,1
383,full,1088,1
384,full,847,1
385,full,1982,1
386,full,688,1
387,full,1074,1
388,full,1931,1
389,full,942,1
390,full,935,1
391,full,1128,1
392,full,882,1
393,full,1648,1
394,full,731,1
395,full,1173,1
396,full,634,1
397,full,922,1
398,full,871,1
399,full,900,1
400,full,649,1
401,full,842,1
402,full,743,1
403,full,1554,1
404,full,1700,1
405,full,673,1
406,full,701,1
407,full,724,1
408,full,823,1
409,full,985,1
410,full,915,1
411,full,667,1
412,full,747,1
413,full,3231,1
414,full,877,1
415,full,655,1
416,full,851,1
417,full,955,1
418,full,2536,1
419,full,663,1
420,full,924,1
421,full,873,1
422,full,651,1
423,full,969,1
424,full,1249,1
425,full,882,1
426,full,1038,1
427,full,1065,1
428,full,669,1
429,full,1201,1
430,full,841,1
431,full,973,1
432,full,953,1
433,full,2316,1
434,full,903,1
435,full,2611,1
436,full,656,1
437,full,921,1
438,full,651,1
439,full,3050,1
440,full,1262,1
441,full,636,1
442,full,643,1
443,full,638,1
444,full,690,1
445,full,2105,1
446,full,734,1
447,full,927,1
448,full,1489,1
449,full,1083,1
450,full,842,1
451,full,637,1
452,full,742,1
453,full,1853,1
454,full,2685,1
455,full,788,1
456,full,1419,1
457,full,883,1
458,full,1015,1
459,full,710,1
460,full,1199,1
461,full,1076,1
462,full,835,1
463,full,991,1
464,full,664,1
465,full,990,1
466,full,658,1
467,full,1142,1
468,full,2400,1
469,full,720,1
470,full,3311,1
471,full,2582,1
472,full,954,1
473,full,2311,1
474,full,960,1
475,full,656,1
476,full,894,1
477,full,1015,1
478,full,869,1
479,full,2335,1
480,full,890,1
481,full,861,1
482,full,1329,1
483,full,883,1
484,full,1216,1
485,full,3448,1
486,full,1215,1
487,full,2867,1
488,full,1060,1
489,full,849,1
490,full,896,1
491,full,690,1
492,full,1797,1
493,full,906,1
494,full,2266,1
495,full,623,1
496,full,877,1
497,full,628,1
498,full,639,1
499,full,642,1
500,full,1269,1
501,full,1110,1
502,full,1028,1
503,full,894,1
504,full,1654,1
505,full,645,1
506,full,630,1
507,full,1038,1
508,full,1246,1
509,full,627,1
510,full,1144,1
511,full,627,1
512,full,687,1
513,full,683,1
514,full,943,1
515,full,771,1
516,full,3790,1
517,full,1303,1
518,full,1389,1
519,full,770,1
520,full,2534,1
521,full,1735,1
522,full,2319,1
523,full,763,1
524,full,986,1
525,full,2604,1
526,full,978,1
527,full,2336,1
528,full,2472,1
529,full,1546,1
530,full,1668,1
531,full,1091,1
532,full,850,1
533,full,1101,1
534,full,660,1
535,full,1311,1
536,full,1006,1
537,full,1103,1
538,full,656,1
539,full,892,1
540,full,880,1
541,full,979,1
542,full,2237,1
543,full,683,1
544,full,674,1
545,full,845,1
546,full,926,1
547,full,986,1
548,full,1615,1
549,full,2736,1
550,full,656,1
551,full,662,1
552,full,635,1
553,full,958,1
554,full,912,1
555,full,1263,1
556,full,661,1
557,full,720,1
558,full,830,1
559,full,762,1
560,full,747,1
561,full,2131,1
562,full,735,1
563,full,650,1
564,full,994,1
565,full,738,1
566,full,700,1
567,full,760,1
568,full,656,1
569,full,665,1
570,full,638,1
571,full,1034,1
572,full,913,1
573,full,717,1
574,full,928,1
575,full,658,1
576,full,1760,1
577,full,1587,1
578,full,2036,1
579,full,906,1
580,full,679,1
581,full,879,1
582,full,881,1
583,full,2645,1
584,full,742,1
585,full,4846,1
586,full,1205,1
587,full,1144,1
588,full,1268,1
589,full,978,1
590,full,930,1
591,full,1510,1
592,full,1019,1
593,full,2313,1
594,full,930,1
595,full,827,1
596,full,667,1
597,full,3887,1
598,full,3059,1
599,full,948,1
600,full,868,1
601,full,2610,1
602,full,1955,1
603,full,881,1
604,full,2278,1
605,full,699,1
606,full,2007,1
607,full,2462,1
608,full,677,1
609,full,652,1
610,full,653,1
611,full,2315,1
612,full,2917,1
613,full,1489,1
614,full,643,1
615,full,884,1
616,full,904,1
617,full,1045,1
618,full,1454,1
619,full,2592,1
620,full,2729,1
621,full,1177,1
622,full,1483,1
623,full,779,1
624,full,971,1
625,full,2041,1
626,full,694,1
627,full,985,1
628,full,2364,1
629,full,935,1
630,full,753,1
631,full,663,1
632,full,3191,1
633,full,673,1
634,full,634,1
635,full,708,1
636,full,628,1
637,full,933,1
638,full,764,1
639,full,2917,1
640,full,706,1
641,full,2152,1
642,full,695,1
643,full,691,1
644,full,882,1
645,full,640,1
646,full,1174,1
647,full,1103,1
648,full,1416,1
649,full,1752,1
650,full,943,1
651,full,641,1
652,full,1085,1
653,full,839,1
654,full,836,1
655,full,1031,1
656,full,648,1
657,full,1259,1
658,full,834,1
659,full,1559,1
660,full,1477,1
661,full,872,1
662,full,642,1
663,full,875,1
664,full,676,1
665,full,995,1
666,full,837,1
667,full,1448,1
668,full,637,1
669,full,887,1
670,full,694,1
671,full,667,1
672,full,652,1
673,full,864,1
674,full,1762,1
675,full,1152,1
676,full,2501,1
677,full,691,1
678,full,1136,1
679,full,868,1
680,full,877,1
681,full,639,1
682,full,1696,1
683,full,947,1
684,full,883,1
685,full,865,1
686,full,892,1
687,full,909,1
688,full,1559,1
689,full,656,1
690,full,635,1
691,full,845,1
692,full,2067,1
693,full,897,1
694,full,925,1
695,full,848,1
696,full,2601,1
697,full,692,1
698,full,716,1
699,full,670,1
700,full,643,1
701,full,2090,1
702,full,1014,1
703,full,960,1
704,full,1321,1
705,full,1018,1
706,full,2614,1
707,full,1113,1
708,full,689,1
709,full,680,1
710,full,691,1
711,full,1489,1
712,full,864,1
