run_id,handshake_type,duration_ms,success
1,full,362,1
2,full,433,1
3,full,573,1
4,full,470,1
5,full,330,1
6,full,300,1
7,full,281,1
8,full,447,1
9,full,382,1
10,full,351,1
11,full,335,1
12,full,304,1
13,full,316,1
14,full,431,1
15,full,337,1
16,full,525,1
17,full,416,1
18,full,321,1
19,full,528,1
20,full,2202,1
21,full,764,1
22,full,291,1
23,full,293,1
24,full,295,1
25,full,331,1
26,full,414,1
27,full,300,1
28,full,655,1
29,full,339,1
30,full,293,1
31,full,405,1
32,full,282,1
33,full,447,1
34,full,397,1
35,full,1512,1
36,full,280,1
37,full,276,1
38,full,315,1
39,full,397,1
40,full,1497,1
41,full,331,1
42,full,306,1
43,full,353,1
44,full,579,1
45,full,448,1
46,full,1478,1
47,full,315,1
48,full,624,1
49,full,499,1
50,full,448,1
51,full,312,1
52,full,377,1
53,full,302,1
54,full,329,1
55,full,362,1
56,full,316,1
57,full,320,1
58,full,1500,1
59,full,502,1
60,full,651,1
61,full,312,1
62,full,532,1
63,full,335,1
64,full,303,1
65,full,295,1
66,full,333,1
67,full,297,1
68,full,293,1
69,full,270,1
70,full,324,1
71,full,476,1
72,full,327,1
73,full,400,1
74,full,368,1
75,full,554,1
76,full,308,1
77,full,346,1
78,full,425,1
79,full,316,1
80,full,370,1
81,full,351,1
82,full,329,1
83,full,300,1
84,full,357,1
85,full,293,1
86,full,341,1
87,full,520,1
88,full,341,1
89,full,371,1
90,full,354,1
91,full,470,1
92,full,305,1
93,full,300,1
94,full,519,1
95,full,303,1
96,full,314,1
97,full,385,1
98,full,304,1
99,full,391,1
100,full,271,1
101,full,345,1
102,full,325,1
103,full,311,1
104,full,311,1
105,full,293,1
106,full,303,1
107,full,318,1
108,full,533,1
109,full,313,1
110,full,299,1
111,full,336,1
112,full,336,1
113,full,307,1
114,full,631,1
115,full,301,1
116,full,373,1
117,full,345,1
118,full,293,1
119,full,299,1
120,full,316,1
121,full,392,1
122,full,436,1
123,full,326,1
124,full,367,1
125,full,361,1
