run_id,handshake_type,duration_ms,success
1,full,176,1
2,full,536,1
3,full,41,1
4,full,278,1
5,full,69,1
6,full,49,1
7,full,33,1
8,full,75,1
9,full,56,1
10,full,28,1
11,full,45,1
12,full,46,1
13,full,1551,1
14,full,29,1
15,full,224,1
16,full,31,1
17,full,280,1
18,full,1460,1
19,full,33,1
20,full,437,1
21,full,1116,1
22,full,31,1
23,full,284,1
24,full,1056,1
25,full,1379,1
26,full,1550,1
27,full,300,1
28,full,60,1
29,full,59,1
30,full,1095,1
31,full,87,1
32,full,1250,1
33,full,1053,1
34,full,1663,1
35,full,884,1
36,full,37,1
37,full,1112,1
38,full,27,1
39,full,461,1
40,full,70,1
41,full,127,1
42,full,82,1
43,full,38,1
44,full,739,1
45,full,23,1
46,full,33,1
47,full,19,1
48,full,256,1
49,full,42,1
50,full,282,1
51,full,85,1
52,full,50,1
53,full,252,1
54,full,24,1
55,full,21,1
56,full,449,1
57,full,22,1
58,full,20,1
59,full,19,1
60,full,32,1
61,full,26,1
62,full,29,1
63,full,258,1
64,full,1127,1
65,full,1056,1
66,full,233,1
67,full,241,1
68,full,1326,1
69,full,28,1
70,full,1357,1
71,full,54,1
72,full,265,1
73,full,40,1
74,full,1311,1
75,full,269,1
76,full,25,1
77,full,33,1
78,full,1066,1
79,full,525,1
80,full,1111,1
81,full,118,1
82,full,48,1
83,full,121,1
84,full,152,1
85,full,52,1
86,full,56,1
87,full,32,1
88,full,23,1
89,full,31,1
90,full,49,1
91,full,1069,1
92,full,259,1
93,full,1152,1
94,full,1244,1
95,full,233,1
96,full,36,1
97,full,38,1
98,full,37,1
99,full,34,1
100,full,1354,1
101,full,54,1
102,full,68,1
103,full,64,1
104,full,25,1
105,full,1049,1
106,full,22,1
107,full,36,1
108,full,31,1
109,full,39,1
110,full,19,1
111,full,22,1
112,full,38,1
113,full,1461,1
114,full,529,1
115,full,1065,1
116,full,1135,1
117,full,287,1
118,full,1127,1
119,full,132,1
120,full,401,1
121,full,34,1
122,full,51,1
123,full,56,1
124,full,46,1
125,full,4735,1
126,full,42,1
127,full,23,1
128,full,1093,1
129,full,36,1
130,full,282,1
131,full,317,1
132,full,314,1
133,full,1254,1
134,full,1173,1
135,full,107,1
136,full,82,1
137,full,39,1
138,full,666,1
139,full,32,1
140,full,22,1
141,full,245,1
142,full,321,1
143,full,122,1
144,full,43,1
145,full,295,1
146,full,1609,1
147,full,1120,1
148,full,25,1
149,full,49,1
150,full,1692,1
151,full,331,1
152,full,61,1
153,full,235,1
154,full,18,1
155,full,30,1
156,full,1049,1
157,full,23,1
158,full,646,1
159,full,648,1
160,full,276,1
161,full,562,1
162,full,62,1
163,full,45,1
164,full,554,1
165,full,1035,1
166,full,44,1
167,full,142,1
168,full,48,1
169,full,275,1
170,full,123,1
171,full,177,1
172,full,1502,1
173,full,57,1
174,full,48,1
175,full,33,1
176,full,28,1
177,full,35,1
178,full,58,1
179,full,562,1
180,full,256,1
181,full,238,1
182,full,1063,1
183,full,245,1
184,full,94,1
185,full,89,1
186,full,73,1
187,full,94,1
188,full,120,1
189,full,175,1
190,full,459,1
191,full,511,1
192,full,29,1
193,full,276,1
194,full,45,1
195,full,523,1
196,full,1633,1
197,full,163,1
198,full,30,1
199,full,7242,1
200,full,40,1
201,full,265,1
202,full,1097,1
203,full,697,1
204,full,1278,1
205,full,1544,1
206,full,1306,1
207,full,480,1
208,full,121,1
209,full,1410,1
210,full,555,1
211,full,47,1
212,full,46,1
213,full,24,1
214,full,652,1
215,full,41,1
216,full,238,1
217,full,653,1
218,full,39,1
219,full,17,1
220,full,451,1
221,full,582,1
222,full,292,1
223,full,1518,1
224,full,756,1
225,full,32,1
226,full,31,1
227,full,323,1
228,full,534,1
229,full,31,1
230,full,36,1
231,full,278,1
232,full,64,1
233,full,538,1
234,full,33,1
235,full,432,1
236,full,38,1
237,full,45,1
238,full,84,1
239,full,87,1
240,full,1066,1
241,full,1084,1
242,full,241,1
243,full,250,1
244,full,103,1
245,full,107,1
246,full,71,1
247,full,81,1
248,full,253,1
249,full,50,1
250,full,685,1
251,full,37,1
252,full,29,1
253,full,1344,1
254,full,889,1
255,full,246,1
256,full,56,1
257,full,35,1
258,full,62,1
259,full,43,1
260,full,62,1
261,full,45,1
262,full,60,1
263,full,27,1
264,full,7240,1
265,full,33,1
266,full,1092,1
267,full,56,1
268,full,44,1
269,full,22,1
270,full,1048,1
271,full,1094,1
272,full,1702,1
273,full,1064,1
274,full,44,1
275,full,234,1
276,full,47,1
277,full,1071,1
278,full,21,1
279,full,653,1
280,full,1927,1
