run_id,handshake_type,duration_ms,success
1,full,351,1
2,full,129,1
3,full,142,1
4,full,156,1
5,full,797,1
6,full,346,1
7,full,4115,1
8,full,389,1
9,full,214,1
10,full,621,1
11,full,126,1
12,full,349,1
13,full,1885,1
14,full,447,1
15,full,188,1
16,full,183,1
17,full,757,1
18,full,1803,1
19,full,188,1
20,full,732,1
21,full,1206,1
22,full,172,1
23,full,626,1
24,full,157,1
25,full,657,1
26,full,337,1
27,full,2436,1
28,full,826,1
29,full,1788,1
30,full,326,1
31,full,480,1
32,full,141,1
33,full,127,1
34,full,375,1
35,full,442,1
36,full,462,1
37,full,351,1
38,full,694,1
39,full,511,1
40,full,3326,1
41,full,430,1
42,full,437,1
43,full,1828,1
44,full,220,1
45,full,573,1
46,full,341,1
47,full,1078,1
48,full,464,1
49,full,334,1
50,full,2223,1
51,full,439,1
52,full,487,1
53,full,2467,1
54,full,436,1
55,full,1159,1
56,full,965,1
57,full,3295,1
58,full,170,1
59,full,291,1
60,full,199,1
61,full,300,1
62,full,1530,1
63,full,236,1
64,full,576,1
65,full,169,1
66,full,1451,1
67,full,178,1
68,full,185,1
69,full,1669,1
70,full,2623,1
71,full,305,1
72,full,396,1
73,full,3148,1
74,full,224,1
75,full,191,1
76,full,801,1
77,full,389,1
78,full,1247,1
79,full,141,1
80,full,1433,1
81,full,315,1
82,full,1174,1
83,full,135,1
84,full,451,1
85,full,402,1
86,full,341,1
87,full,345,1
88,full,136,1
89,full,676,1
90,full,598,1
91,full,1161,1
92,full,973,1
93,full,923,1
94,full,183,1
95,full,1439,1
96,full,287,1
97,full,138,1
98,full,175,1
99,full,149,1
100,full,369,1
101,full,138,1
102,full,303,1
103,full,606,1
104,full,405,1
105,full,983,1
106,full,394,1
107,full,3581,1
108,full,1811,1
109,full,185,1
110,full,154,1
111,full,367,1
112,full,144,1
113,full,442,1
114,full,599,1
115,full,449,1
116,full,134,1
117,full,1501,1
118,full,392,1
119,full,298,1
120,full,350,1
121,full,465,1
122,full,1204,1
123,full,199,1
124,full,625,1
125,full,141,1
126,full,108252,1
127,full,217,1
128,full,399,1
129,full,2779,1
130,full,723,1
131,full,321,1
132,full,168,1
133,full,182,1
134,full,155,1
135,full,2019,1
136,full,156,1
137,full,370,1
138,full,520,1
139,full,1739,1
140,full,261,1
141,full,270,1
142,full,725,1
143,full,1689,1
144,full,1782,1
145,full,570,1
146,full,1204,1
147,full,559,1
148,full,1300,1
149,full,904,1
150,full,550,1
151,full,1980,1
152,full,759,1
153,full,400,1
154,full,217,1
155,full,4954,1
156,full,227,1
157,full,543,1
158,full,563,1
159,full,780,1
160,full,138,1
161,full,734,1
162,full,202,1
163,full,335,1
164,full,138,1
165,full,219,1
166,full,1247,1
167,full,227,1
168,full,328,1
169,full,191,1
170,full,212,1
171,full,738,1
172,full,698,1
173,full,155,1
174,full,1904,1
175,full,307,1
176,full,502,1
177,full,692,1
178,full,424,1
179,full,213,1
180,full,1528,1
181,full,2291,1
182,full,287,1
183,full,132,1
184,full,282,1
185,full,129,1
186,full,173,1
187,full,2499,1
188,full,1001,1
189,full,1564,1
190,full,651,1
191,full,533,1
192,full,918,1
193,full,296,1
194,full,797,1
195,full,2082,1
196,full,178,1
197,full,201,1
198,full,1580,1
199,full,1429,1
200,full,290,1
201,full,1697,1
202,full,7805,1
203,full,496,1
204,full,259,1
205,full,1968,1
206,full,1575,1
207,full,256,1
208,full,185,1
209,full,1641,1
210,full,324,1
211,full,1272,1
212,full,1840,1
213,full,254,1
214,full,2721,1
215,full,878,1
216,full,183,1
217,full,179,1
218,full,348,1
219,full,650,1
220,full,907,1
221,full,1663,1
222,full,2222,1
223,full,771,1
224,full,271,1
225,full,2381,1
226,full,326,1
227,full,1367,1
228,full,192,1
229,full,258,1
230,full,1604,1
231,full,1176,1
232,full,650,1
233,full,3315,1
234,full,448,1
235,full,320,1
236,full,239,1
237,full,219,1
238,full,162,1
239,full,365,1
240,full,745,1
241,full,382,1
242,full,567,1
243,full,383,1
244,full,183,1
245,full,444,1
246,full,3374,1
247,full,2544,1
248,full,1494,1
249,full,1321,1
250,full,596,1
251,full,711,1
252,full,1255,1
253,full,326,1
254,full,777,1
255,full,533,1
256,full,2209,1
257,full,294,1
258,full,1494,1
259,full,477,1
260,full,603,1
261,full,1723,1
262,full,2322,1
263,full,341,1
264,full,2122,1
265,full,2042,1
266,full,2677,1
267,full,1409,1
268,full,1975,1
269,full,736,1
270,full,544,1
271,full,531,1
272,full,213,1
273,full,2209,1
274,full,282,1
275,full,203,1
276,full,162,1
277,full,482,1
278,full,704,1
279,full,2518,1
280,full,1986,1
281,full,1227,1
282,full,665,1
283,full,1264,1
284,full,199,1
285,full,780,1
286,full,261,1
287,full,262,1
288,full,222,1
289,full,130,1
290,full,464,1
291,full,1012,1
292,full,122,1
293,full,779,1
294,full,295,1
295,full,223,1
296,full,1821,1
297,full,475,1
298,full,174,1
299,full,163,1
300,full,1860,1
301,full,1898,1
302,full,618,1
303,full,1049,1
304,full,1693,1
305,full,382,1
306,full,861,1
307,full,1836,1
308,full,745,1
309,full,571,1
310,full,147,1
311,full,209,1
312,full,497,1
313,full,631,1
314,full,464,1
315,full,272,1
316,full,295,1
317,full,630,1
318,full,602,1
319,full,811,1
320,full,1644,1
321,full,538,1
322,full,1232,1
323,full,467,1
324,full,603,1
325,full,1683,1
326,full,660,1
327,full,246,1
328,full,248,1
329,full,1608,1
330,full,4428,1
331,full,3068,1
332,full,495,1
333,full,815,1
334,full,283,1
335,full,1701,1
336,full,133,1
337,full,364,1
338,full,221,1
